mode,eigenvalue_real,eigenvalue_imag,magnitude,phase,decay_rate,frequency
0,0.39994752,0.16502537,0.43265623,0.39133602,0.16756237,0.0782672
1,0.39994752,-0.16502537,0.43265623,-0.39133602,0.16756237,-0.0782672
2,0.42483726,0.0,0.42483726,0.0,0.17120981,0.0
3,-0.21019441,0.31456476,0.3783288,2.1598647,0.19439833,0.43197292
4,-0.21019441,-0.31456476,0.3783288,-2.1598647,0.19439833,-0.43197292
5,-0.3111199,0.17460957,0.35676897,2.6301692,0.20613337,0.5260338
6,-0.3111199,-0.17460957,0.35676897,-2.6301692,0.20613337,-0.5260338
7,0.031383682,0.33095866,0.33244333,1.4762524,0.2202572,0.29525048
8,0.031383682,-0.33095866,0.33244333,-1.4762524,0.2202572,-0.29525048
9,0.18293357,0.16853446,0.24873392,0.7444526,0.2782743,0.14889053
10,0.18293357,-0.16853446,0.24873392,-0.7444526,0.2782743,-0.14889053
11,-0.15774445,0.0,0.15774445,3.1415925,0.36935577,0.6283185
12,0.09511593,0.0,0.09511593,0.0,0.47053176,0.0
13,-0.013224798,0.033111542,0.03565487,1.9507866,0.6667739,0.3901573
14,-0.013224798,-0.033111542,0.03565487,-1.9507866,0.6667739,-0.3901573
