mode,frequency_omega,decay_rate_gamma,amplitude_A_k,entropy_production,entropy_fraction
0,0.0782672,0.16756237,0.9024034,0.032990117,0.03422414
1,-0.0782672,0.16756237,0.5919706,0.021641295,0.022450808
2,0.0,0.17120981,0.29356325,0.0,0.0
3,0.43197292,0.19439833,0.23196512,0.22266053,0.23098935
4,-0.43197292,0.19439833,0.025259275,0.024246072,0.025153019
5,0.5260338,0.20613337,0.10826379,0.14533235,0.15076864
6,-0.5260338,0.20613337,0.12880354,0.17290471,0.17937237
7,0.29525048,0.2202572,0.090215355,0.03570521,0.037040796
8,-0.29525048,0.2202572,0.2001115,0.079199634,0.08216217
9,0.14889053,0.2782743,0.0013352744,0.00010637304,0.00011035202
10,-0.14889053,0.2782743,0.38935348,0.031017378,0.032177612
11,0.6283185,0.36935577,0.1714853,0.18329124,0.19014741
12,0.0,0.47053176,0.032571025,0.0,0.0
13,0.3901573,0.6667739,0.020277617,0.0046293265,0.0048024906
14,-0.3901573,0.6667739,0.04476004,0.010218599,0.010600835
